;SOCIAL MEDIA ENGAGEMENT DATA;;;;;;;;;
;;;;;;;;;;
;DATE;DAILY IMPRESSIONS;;;;;;;;
;13/12/2025;42;;;;;;;;
;14/12/2025;68;;;;;;;;
;15/12/2025;70;;;;;;;;
;16/12/2025;67;;;;;;;;
;17/12/2025;60;;;;;;;;
;18/12/2025;48;;;;;;;;
;19/12/2025;58;;;;;;;;
;20/12/2025;25;;;;;;;;
;21/12/2025;73;;;;;;;;
;22/12/2025;40;;;;;;;;
;23/12/2025;57;;;;;;;;
;24/12/2025;64;;;;;;;;
;25/12/2025;48;;;;;;;;
;26/12/2025;54;;;;;;;;
;27/12/2025;42;;;;;;;;
;28/12/2025;31;;;;;;;;
;29/12/2025;62;;;;;;;;
;30/12/2025;53;;;;;;;;
;31/12/2025;72;;;;;;;;
;01/01/2026;69;;;;;;;;
;02/01/2026;58;;;;;;;;
;03/01/2026;71;;;;;;;;
;04/01/2026;60;;;;;;;;
;05/01/2026;64;;;;;;;;
;;;;;;;;;;
